,명칭,주소,lat,lon,개요,문의 및 안내,주차 시설,영업시간,쉬는날,대표메뉴,취급메뉴,상세정보
77,숙성도노형본관,제주특별자치도 제주시 원노형로 41(노형동),33.4850591422,126.4850351548,"숙성도는 100% 제주 흑돼지를 차별화된 기술로 숙성하여 제공하는 돼지고기구이 전문점이다. 이곳은 선별된 정육을 진공으로 포장해 영하 1도의 염수로 보관하는 워터에이징 후, 바람과 온도, 습도를 관리하는 드라이에이징까지 교차로 숙성한다. 또한, 돼지고기 하면 떠오르는 삼겹살 부위가 아니라 비선호 저지방 부위인 등심, 앞다리, 뒷다리 등 기타 부위들을 전문적인 숙성법으로 더 맛있게 맛볼 수 있다는 점이 이 집만의 특징이다. 서귀포 중문점도 있으며, 오후 3시부터 4시 30분까지 브레이크 타임이 있다.",064-711-5212,있음,11:00 ~ 21:00 (사회적거리두기로 인한 영업시간 단축),연중무휴,"교차숙성 흑돼지, 숙성 삼겹","갈치속젓 볶음밥, 동치미 열무국수, 벌집 양념껍데기 등","부대시설:단체석, 주차장, 화장실(남녀구분), 무선 인터넷 

"
78,파크사이드 다이닝,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 89
			",33.3030766268,126.3178371034,"[제주신화월드 서머셋 클럽하우스에서 즐기는 브렉퍼스트 & 이탈리안 런치]
파크사이드 다이닝은 환상적인 전경을 감상하며 프리미엄 스테이크와 소물리에의 엄선된 와인 페어링을 함께 즐길 수 있는 레스토랑이다. 수준 높은 인테리어 디자인은 물론, 제주의 맛까지 가미된 고급 요리로 고객들에게 차별화된 미식의 경험을 제공한다. 탁 트인 공간에서 제주의 바다와 하늘도 함께 음미하시길 바란다.",064-908-1610,주차 가능,"07:00 ~ 10:30 (조식), 12:00 ~ 14:30 (중식)",연중무휴,딱새우 토마토 크림 파스타,딱새우 토마토 크림 파스타 / 씨푸드 크림 파스타 / 감베로니 알리오 올리오 / 마르게리따 피자 / 고르곤졸라 피자 / 새우장 덮밥 / 간장게장 덮밥 / 명란 아보카도 덮밥 / 불고기 덮밥 외,"부대시설:공용주차장, 화장실, 무료 WIFI, 흡연구역, 편의점, 음료대, 유도 및 안내 시설, 경보 및 피난 시설, 노키즈존, 유아 의자, 유아 식기
"
79,카페리,"제주특별자치도 제주시 구좌읍 평대2길 39
			",33.5339788601,126.839669904,고즈넉한 분위기에 따뜻한 공간 카페리는 평대해수욕장에서 가까워 파도 소리와 함께 여유로운 시간을 즐길 수 있는 디저트 카페이다. 고양이를 위한 공간들이 눈에 띄며 반려동물 동반이 가능하다. 최근 제주 동쪽 카페라는 검색어로 구좌읍에 있는 제주전통구옥카페 투어를 하는 여행객들이 늘고 있다. 카페리도 지역 특색을 살려 당근 케잌과 당근 쥬스가 대표메뉴이며 눈 덮힌 한라산을 연상케 하는 한라산 케이크도 유명하다. 야외 정원은 압도적인 스케일의 팜파스를 배경으로 동그랗게 파인 포토존이 특히 매력적이다.,064-782-8244,주차가능,11:30 ~ 18:30,,"당근케이크, 한라산 케이크","감귤그라니타, 에그타르트, 한라봉차, 하귤에이드, 당근주스 등","부대시설:단체석, 주차장, 화장실
화장실:가능
"
80,올래국수,"제주특별자치도 제주시 귀아랑길 24
			",33.4914891794,126.4972061735,"제주시 연동에 있는 올래국수는 고기국수 전문 식당이다. 메뉴에는 고기국수, 멸치국수, 비빔국수가 있으며 주문은 카운터에서 하고 기다려야 한다.",064-742-7355,,08:30 ~ 15:00 (라스트오더 14:50),일요일 / 명절연휴,고기국수,고기국수,
81,제주돗,"제주특별자치도 제주시 한경면 조수2길 34
			",33.3332080432,126.2308467693,"제주시 한경면 깊숙한 곳에 있는 제주돗은 맛 좋은 돼지고기를 파는 돼지고기구이 전문점이다. 대기가 많은 편이나, 잘 관리된 마당에 텐트와 의자, 아이들이 놀 수 있는 놀이 공간 등이 마련돼 있어 가족 단위 손님들이 많이 찾는다. 메뉴는 백돗근고기와 흑돗근고기가 있다. 돗은 제주 방언으로 돼지라는 뜻이며, 흑돗은 잘 알려진 제주 흑돼지를 뜻한다. 두꺼운 고기를 직원들이 맛있게 구워주어 먹기 편하다. 직원들이 친절하며 아기 의자가 마련되어 있는 등 편의시설이 잘 갖춰져 있다.",064-772-0505,주차가능,16:00 ~ 22:00,화요일,"백돗근고기(600g), 흑돗근고기(600g)",김치찌개,"부대시설:주차장, 화장실
화장실:가능 (남녀 구분)
"
82,카페 이스틀리,"제주특별자치도 서귀포시 성산읍 산성효자로114번길 131-1
			",33.4561052475,126.9084129597,"성산읍에 있는 카페 이스틀리는 실내 온실에서 4계절 내내 꽃을 볼 수 있는 정원이 아름다운 카페다. 영화 '번지 점프를 하다'에 출연한 배우 여현수 씨 부부가 운영하는 이스틀리는 핑크뮬리와 수국 명소로도 유명하다. 따뜻한 감성으로 채워진 실내 공간도 좋지만, 이곳의 매력은 뭐니 뭐니 해도 꽃들이 가득 차 있는 정원에 마련된 테이블과 벤치에서 커피와 빵을 즐기는 것이다. 최근 카페 옆에 스모크 하우스도 오픈하여 식사와 커피, 디저트를 한 번에 즐길 수 있어 더 특별한 공간이다.",0507-1380-3306,,11:00 - 18:00 (라스트오더 17:30),,"쑥 크림 라떼, 이스틀리 브라운","넛츠 크림 모카, 크림슨펀치, 앙버터 소보로, 휘낭시에 등","부대시설:주차장, 화장실, 정원
화장실:가능
"
83,문개항아리 조천본점,"제주특별자치도 제주시 조천읍 조함해안로 217-1
			",33.5535346551,126.6440031125,"문어 해루질 달인으로 유명한 주인이 운영하는 해물라면 전문점으로 제주 문어라면, 한치라면, 한치튀김, 문어튀김이 유명하다. 제주도 문어철이 되면 주인장이 직접 매일 밤바다에 나가 직접 잡아 오는 문어로 조리를 하고 문어 철이 아닐 때는 국내산 중에서도 고품질의 문어를 사용한다. 새우 외 식사에 제공되는 모든 식재료는 제주산이다. 조천 바닷가에 위치해 풍광이 좋고 식후 디저트로 한라봉 아이스크림을 판매한다.",0507-1389-4775,주차가능,09:30 ~ 20:00,,통해물라면,"통해물라면, 통해물칼국수, 칼라(반반), 문어라면, 한치라면, 한치튀김, 새우튀김, 반반튀김, 통문어튀김 등",
84,랜딩 델리,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38
			",33.3049513971,126.3164038528,"랜딩관 제주신화월드 로비 앞에 위치한 랜딩 델리는 정성들여 장식한 케이크와 달콤한 기쁨을 선사하는 디저트 등을 구입할 수 있는 베이커리 카페이다. 뿐만 아니라, 천연 벌꿀, 유기농 과일 등 한국의 자연에서 채취한 재료로 만든 건강한 식료품을 판매하는 코너도 운영하고 있다. 노련한 파티셰의 손길에서 태어난 마카롱 세트도 맛볼 수 있다.",064-908-2400,주차 가능,10:00 ~ 20:00,연중무휴,한라봉 오렌지 티 케이크,한라봉 오렌지 티 케이크 / 제주땅콩무스 / 한라봉 케이크 / 마카롱 세트 외,"부대시설:공용주차장, 화장실, 무료 WIFI, 흡연구역, 편의점, 음료대, 유도 및 안내 시설, 경보 및 피난 시설, 노키즈존
"
85,아기해녀의집,"제주특별자치도 제주시 애월읍 금성5길 42-15
			",33.4483158609,126.3015741601,"아기해녀의집은 아름다운 제주 애월 바다를 바라보며 신선한 해물라면을 먹을 수 있는 맛집이다. 아침부터 식사가 가능해 여행의 아침을 든든하게 채울 수 있다. 해물라면과 해물떡볶이로 구성되어 있는 세트로만 주문이 가능하다. 해물라면에는 돌문어, 톳, 전복, 새우튀김까지 푸짐한 해산물이 가득해 얼큰하고 시원한 맛을 자랑한다. 해물떡볶이는 볶음밥과 어우러져 달콤하면서도 매콤한 맛으로 입맛을 돋운다. 양이 푸짐한 편이라 배부른 식사를 할 수 있다. 남녀노소 누구나 좋아할 맛으로 가족과 함께 방문해도 좋다.",,주차가능,09:00 ~ 18:00,,해물라면,"물회라면, 반반세트, 해물떡볶이","부대시설:야외테이블, 무선인터넷 
화장실:가능 (남녀 구분)
"
86,칠돈가 제주공항직영점,제주특별자치도 제주시 신대로 144(연동),33.4844649392,126.4960703202,제주 흑돼지와 김치찌개로 미식가들의 입맛을 사로잡은 칠돈가 제주공항직영점은 명품 흑돼지의 다양한 부위와 멜젓의 궁합이 환상적이다. 흑돼지 본연의 육즙과 고기 맛을 제대로 느낄 수 있도록 두툼한 근고기를 연탄에 구워 매력적인 불향까지 입혀 준다. 능숙한 솜씨로 직원들이 친절하게 고기를 구워 먹는 방법까지 설명해 주니 더할 나위 없다. 마지막으로 얼큰한 김치찌개를 더 하면 그야말로 화룡점정이다. 공항 근처에 있어 제주를 오갈 때 들러 편안하게 맛볼 수 있다.,064-747-9092,주차가능,17:00 ~ 00:00,목요일,제주흑돼지 근고기 600g,"칠돈가근고기, 김치찌개, 된장찌개, 냉면 등","부대시설:단체석, 주차장, 무선인터넷 
화장실:가능 (남녀 구분)
"
87,오름가든,"제주특별자치도 제주시 조천읍 비자림로 657
			",33.436995295,126.6766807133,"[제주시 조천읍 교래리에 위치한 토종닭, 흑돼지, 꿩요리 전문점 오름가든]<br /> 오름가든은 제주 미니랜드 인근에 위치한 토종닭, 흑돼지, 꿩요리를 전문으로 하는 음식점이다. 토종닭 코스요리와 꿩한마리 코스요리, 흑돼지 샤브샤브 등 다양한 종류로 토종닭, 흑돼지, 꿩요리를 맛볼 수 있다.<br>",064-784-6041,주차 가능,10:30 ~ 22:00,명절연휴 (전화로 문의),토종닭 샤브샤브,토종닭 한마리 코스 / 토종닭백숙 / 토종닭볶음탕 외,"화장실:남/녀 화장실 구분
"
88,흑돈향,"제주특별자치도 서귀포시 태평로 58
			",33.2447475122,126.5292617309,제주특별자치도 서귀포시에 있는 바비큐 전문점이다. 대표메뉴는 흑돼지구이다. 흑돼지구이는 제주도의 대표적인 음식이다.,064-739-5115,가능,17:00 ~ 21:00,매주 화요일,흑돼지구이,흑돼지구이 / 항정살 외,"화장실:남녀구분

"
89,협재 수우동,"제주특별자치도 제주시 한림읍 협재1길 11
			",33.3966484295,126.2424721239,"제주 한림읍에 자리한 협재 수우동은 금능해수욕장과 가까이 있는 일식집이다. 제주의 정겨움이 묻어나는 아담한 돌담 집 사이에 연두색으로 칠한 작은 가게가 나오는데, 바로 수요미식회에도 출연한 수우동이다. 안으로 들어가면 탁 트인 풍경 너머로 바다가 한눈에 담겨 먹는 재미뿐 아니라 보는 재미도 있다. 메뉴는 온우동과 냉우동, 돈가스 등이 있다. 대표 메뉴는 자작냉우동이다. 레몬즙을 뿌리고 무와 쪽파, 덴카츠를 면과 육수에 함께 섞어 먹으면 된다. 탱탱한 면과 깔끔한 육수가 잘 어우러져 자극적이지 않은 맛을 낸다.",064-796-5830,주차가능,10:30 ~ 17:00,화요일,"일식우동, 돈가스","핑거돈가스정식, 둥글넙적 어묵우동, 모둠튀김, 고로케 등","부대시설:주차장, 화장실
화장실:가능
"
90,고관심해장국,"제주특별자치도 제주시 한경면 용고로 86
			",33.3011996689,126.1795602716,고산리 시내 농협 사거리에 소박하게 위치한 관심해장국 식당은 여타 유명한 식당과는 달리 진한 해장국 국물 맛으로만 조용히 입소문이 난 식당이다. 이 곳은 쇠고기 선지 해장국이 주메뉴이며 콩나물 해장국과 소 내장탕은 시골의 진한 국물 맛을 그대로 간직하고 있다. 쇠고기 선지 해장국은 뚝배기 한가득 아끼지 않고 담은 쇠고기와 선지의 양으로 보기만 하여도 푸짐하다. 콩나물 해장국 또한 진하고 시원한 국물 맛이 일품이며 콩나물 위에 살포시 얹혀지는 마른김은 더욱 입맛을 돋운다.,064-772-2825,주차 가능,07:00 ~ 15:00,연중무휴,소고기해장국,소고기해장국 / 선지해장국 / 내장탕 / 순대(따로)국밥 외,"화장실:남녀공용, 식당외부
"
91,월정리갈비밥,"제주특별자치도 제주시 구좌읍 월정7길 46
			",33.5548925198,126.7968120307,"월정리 갈비밥은 월정리 해변 근처에 있는 맛집이다. 맛도 맛이지만, 시선을 사로잡는 비주얼로 SNS 채널에서 유명해졌다. 주메뉴는 흑돼지 갈비밥과 매운 흑돼지 갈비밥이다. 갈비밥을 주문하면 미니 냉면이 함께 제공되는데, 물냉면과 비빔냉면 중 선택이 가능하다. 삶은 계란과 딱새우, 방울토마토가 함께 나오는데, 수북이 쌓인 갈비를 먹기 좋게 잘라 밥에 올려 먹으면 된다. 또 다른 인기 메뉴는 유리컵이 넘치게 쌓아 올린 에이드인 레몬 타워와 제주타워다. 제주타워는 한라봉 에이드인데, 비주얼이 독특해서 관광객들이 많이 찾는 메뉴다.",064-782-0430,주차가능,"10:00 ~ 20:00<br>(브레이크타임 15:00 ~ 17:00 / 라스트오더 14:30, 19:30)",,"제주 흑돼지갈비밥, 제주 매운흑돼지갈비밥","뚱보샤, 제주 타워, 레몬 타워","부대시설:무선인터넷, 주차장, 화장실
화장실:가능 (남녀 구분)
"
92,돈사돈,"제주특별자치도 제주시 우평로 19
			",33.4788761598,126.4640871155,제주산 흑돼지를 맛볼 수 있는 곳이다. 대표메뉴는 흑돼지 오겹살이다. 제주특별자치도 제주시에 있는 한식 전문점이다.,064-746-8989,주차 가능,12:00~22:00,매주 화요일 정기휴무,흑돼지오겹살,흑돼지오겹살 / 김치찌개,"화장실:남녀구분

"
93,삼성혈해물탕,"제주특별자치도 제주시 선덕로5길 20
			",33.4912225503,126.4977255785,"제주도청 뒤편에 자리 잡고 있는 삼성혈해물탕은 싱싱하고, 다양한 해물을 재료로 한 푸짐한 해물탕이 인기이다.",064-745-3000,주차 가능(인근 공영주차장),10:00 ~ 22:00 (브레이크타임 14:50 ~ 16:00),연중무휴,해물탕,해물탕 / 전복회 / 산낙지 / 해물뚝배기 외,
94,광양해장국,"제주특별자치도 제주시 광양13길 25
			",33.4998832591,126.5326584566,"제주시청 인근에 위치해 있는 광양해장국집은 해장국 전문 음식점으로, 개운한 맛의 해장국이 일품인 곳이다. 우거지, 선지, 콩나물 등이 넉넉하게 들어가 구수하고 얼큰한 맛이 해장하기에도 좋다. 이른 아침부터 시작해 오후 3시면 영업을 마치기 때문에 영업시간을 꼭 확인하고 가야한다.<br>",064-751-1777,주차 가능,06:00 ~ 15:00,연중무휴(전화문의),해장국,해장국 / 내장탕 외,
95,안거리 밖거리,"제주특별자치도 서귀포시 솔동산로 6-1
			",33.2442786707,126.5640615038,"이중섭거리, 이중섭미술관 인근에 위치한 제주 향토 음식 전문점으로, 정식메뉴를 시키면 옥돔구이, 돔베고기, 쌈, 된장찌개, 계란 찜 등 다양한 밑반찬이 15종류가 차려진다.<br>",064-763-2552,주차 가능,08:30 ~ 21:00 (break time 15:30~17:00 / 주문마감 20:30),랜덤휴무(방문전 전화 요망),정식,정식 / 비빔밥 / 옥돔구이 외,
96,맛나식당,"제주특별자치도 서귀포시 성산읍 동류암로 41
			",33.4485673146,126.916020808,"제주의 관광명소 성산 일출봉으로 가는 길목에 갈치조림이 맛있기로 소문난 맛나식당이 자리하고 있다. 예전에는 갈비 식당을 운영하다가 현재는 사장 겸 주방장을 맡은 제주 토박이 주인 할머니가 갈치조림을 메뉴로 내었다. 1인분을 주문하면 4조각의 오동통한 갈치조림이 나오는데, 가격은 다른 곳의 절반 수준으로 가성비 좋은 갈치 요리를 맛볼 수 있다. 근처 성산포에서 잡은 갈치와 고등어만을 사용하기 때문에 언제나 싱싱한 생선 요리를 만날 수 있다. 갈치는 여름보다 가을부터 봄까지 추울 때가 맛이 좋다고 하니 참고하면 된다.",064-782-4771,공용주차장 (주말만 무료),08:30 ~ 14:00,,갈치고등어 섞어조림 (2인이상),단일 메뉴,"화장실:있음 (남녀 구분)

"
97,젠하이드어웨이,"제주특별자치도 서귀포시 안덕면 사계남로 186-8
			",33.2292374154,126.3085951026,"바로 앞에는 제주 바다, 멀리로는 산방산과 용머리해안이 그림같이 펼쳐진 곳이다. 이곳의 대표 메뉴는 차롱박스이다. 차롱박스란 제주어로 도시락 모양의 대나무 용기를 뜻한다. 여기에 감자튀김과 생선가스 등을 피시 앤 칩스처럼 담아낸 메뉴가 바로 차롱박스이다. 이 밖에도 산방산 돔 파스타(해산물을 넣고 파스타 반죽을 덮어 오븐에 구운 파스타)가 유명하다.",064-794-0133,,11:00 ~ 21:00 (주문마감 20:00),명절연휴(전화문의),차롱박스 / 산방산 돔 파스타,차롱박스 / 산방산 돔 파스타 / 단호박 고로케 / 감자튀김 외,
98,용두암해촌,"제주특별자치도 제주시 서해안로 614
			",33.5169642249,126.5027606683,"제주 용담포구 인근에 위치한 해물요리 전문점이다. 인근에 용수암해수랜드, 용담레포츠공원이 있으며, 용두암해촌에서는 갈치조림, 고등어조림, 고등어구이, 갈치구이, 해물전골, 매운탕 등 다양한 해물 요리를 제공한다. 인원수대로 세트메뉴가 제공되고 있어 단체 식사를 하기에도 좋다.",064-742-1516,주차 가능(30대),07:30 ~ 21:30,연중무휴,해물전골 / 갈치조림,해물전골 / 갈치조림 / 고등어조림 / 옥돔구이 / 전복뚝배기 / 전복성게미역국 / 전복죽 / 생선회 / 회덮밥 / 물회 외,
99,명원가든,"제주특별자치도 서귀포시 성산읍 성산등용로 8
			",33.4647185935,126.9336800167,"화려한 도시의 식당과는 비교되지만 나름대로 특색있는 인테리어가 제주도라는 단어와 잘 어울려서 정갈한 분위기를 자아낸다. 음식 맛 또한 주인장의 깔끔한 손맛을 담아내고 있다. 이 집의 주메뉴는 제주의 대표음식인 갈치조림이다. 제주도의 식당 어디서나 맛볼 수 있는 메뉴이지만, 유난히 맛이 좋다고 한다.<br>",064-784-1900,주차 가능,08:00 ~ 21:00,연중무휴,갈치조림,갈치조림 / 고등어조림 / 해물전골 / 전복구이 / 전복회 / 전복뚝배기 / 오분작돌솥밥 외,
100,모이세해장국,"제주특별자치도 제주시 연북로 221
			",33.4817126104,126.5051390387,계란을 풀어먹으면 더 맛있는 해장국 맛집이다. 대표메뉴는 해장국이다. 제주특별자치도 제주시에 있는 한식전문점이다.,064-746-5128,주차 가능,06:00-22:00,연중무휴,해장국,해장국 / 내장탕 / 육개장 / 순두부,
101,짬뽕에취한날,제주특별자치도 제주시 귀아랑2길 4(연동),33.4912336621,126.497833902,"짬뽕에 취한 날은 제주공항 근처 연동에 자리 잡은 짬뽕 전문점이다. 일반 중식당과 다르게 갈비가 올라간 갈비 짬뽕으로 유명해진 식당이다. 메뉴는 갈비 짬뽕과 일반 짬뽕, 짜장면, 탕수육, 깐풍육, 그리고 계절 메뉴인 갈비 냉짬뽕, 일반 냉짬뽕 등이 있다. 내부 홀은 넓은 편이며, A홀, B홀로 나누어 회전율을 높였다. 갈비 짬뽕에 올라간 갈비는 불향이 가득 묻어있으며, 맵지 않고 칼칼하고 얼큰한 맛에 단골이 많은 편이다. 관광객뿐만 아니라 현지 도민들도 점심시간에 즐겨 찾는다.",070-8227-2335,,10:30 ~ 16:00<br>(재료소진시 영업종료),일요일,갈비짬뽕,"해물짬뽕, 짬뽕, 자장면, 탕수육, 깐풍기 등","부대시설:화장실
화장실:가능 (남녀 구분)
"
102,운정이네,제주특별자치도 서귀포시 중산간서로 726(중문동),33.2635773213,126.4377636869,"제주 중문 갈치전문점 '운정이네'는 제주도 여행 시 반드시 들러야 할 필수 코스 중 하나다. 1m가 넘는 제주 은갈치와 전복, 산낙지, 옥돔 등 다양한 해산물이 제공되고, 전복, 회, 흑돼지족발, 해물뚝배기 등 눈과 입을 즐겁게 하는 다채로움이 눈앞에 펼쳐진다. 직원들이 고객을 위하여 직접 갈치 살을 세심하게 발라줘 보드라운 갈치의 맛을 더욱 깊이 느낄 수 있다. 해물 들어간 미역국과 함께 나오는 돌솥밥에는 전복이 들어있어 진짜 제주의 맛을 느낄 수 있다. 후식으로 아메리카노, 카페라떼, 카푸치노, 율무차, 녹차와 한라봉 아이스크림, 바닐라 아이스크림이 무료로 제공되어 즐거운 식사 장소로 안성맞춤이다.",064-738-3883,주차가능,08:00 ~ 22:00,,해물통갈치조림,"고등어조림, 고등어구이, 전복돌솥밥, 전복뚝배기, 성게미역국","부대시설:단체석, 주차장, 무선 인터넷, 화장실 
화장실:가능 (남녀 구분)
"
103,돌토고리족욕카페,"제주특별자치도 서귀포시 표선면 표선당포로 16-4
			",33.3256130649,126.8443992733,"표선해비치해변, 표선 포구 바로 뒤편에 위치한 디저트와 족욕을 즐길 수 있는 돌토고리카페는 검은 현무암으로 만든 이색적인 족욕통과 직접 만드는 젤라또, 빵이 인기 있는 따뜻한 공간이다. 특히 이색적인 빵이 인기가 좋은데, 맛도 맛이지만 다른 베이커리에는 없는 이 집만의 독특함이 있기 때문이다. 오징어와 한치, 문어, 소라를 넣어 만든 해물빵은 돌토고리를 대표하는 인기 빵이다. 겉은 특별할 게 없지만 속에 가득 들어있는 해산물들이 여느 빵과는 다른 특별함을 만들어 준다. 폭신한 빵의 식감과 잘게 썰어 넣은 해산물이 꽤나 잘 어울린다. 

카페 2층은 족욕 체험장으로 꾸며져 있다. 디저트와 함께 족욕을 즐기고 싶다면 1층에서 미리 빵과 음료를 주문하면 족욕 테이블로 가져다준다. 개인 족욕 통마다 음료 등을 올려둘 수 있는 테이블이 있어 편하다.",064-787-9400,주차 가능,10:00 ~ 22:00,매달 2번째 목요일 정기휴무,젤라또,젤라또 / 아메리카노 / 한라봉 요거트 스무디 외,
104,일통이반,제주특별자치도 제주시 중앙로2길 25(삼도이동),33.5170978512,126.5220895397,"일통이반은 다양한 해산물 메뉴를 신선하게 즐길 수 있는 해산물 요리 전문점이다. 제주시 삼도이동에 자리하고 있으며, 관광객과 현지 도민들도 즐겨 찾는다. 이곳은 제주도 1호 해남이 직접 잡아 올린 해산물로 운영하는 제주 토속 식당인데, 이 때문에 쉽게 접하기 힘든 자연산 꽃 멍게, 홍해삼 등의 해산물을 만나 볼 수 있다. 대표 메뉴는 싱싱하고 먹음직스럽게 주황빛을 뽐내는 성게알이다. 식당에서 제공해주는 김과 참기름 등을 함께 싸서 먹으면 된다. 이 밖에도 제철 회와 고소한 보말죽도 인기 메뉴다.",064-752-1028,,매일 12:00 - 24:00,"둘째, 넷째 화요일 휴무",모둠해산물,"문어숙회, 돌멍게, 성게알, 소라회, 보말죽","화장실:가능 (남/녀구분)
"
105,은희네해장국,"제주특별자치도 제주시 고마로13길 8
			",33.5085574275,126.540738113,"제주시 일도2동에 있는 소고기 해장국 전문점 은희네해장국은 제주항(국제여객선터미널)과 제주공항이 가까워 제주도 여행 시 이용하기 편리하며, 메뉴에는 단일 메뉴로 소고기 해장국을 제공한다.",064-726-5622,주차 가능,06:00 ~ 15:00 (주말 06:00 ~ 14:00),목요일,소고기 해장국,,
106,면뽑는선생 만두빚는아내,"제주특별자치도 제주시 한림읍 옹포2길 10
			",33.3998787407,126.2497269764,"제주시 한림읍에 있는 면뽑는선생만두빚는아내는 제주산 한우 양지와 아롱사태만 사용한 수육, 그리고 제주산 돼지고기로 빚은 만두를 사용하는 만두전골 전문점이다. 만두 위에 고기, 버섯 등이 올라간 한우수육버섯만두전골이 인기 메뉴다. 또 다른 메뉴로는 손만둣국, 한우사골만둣국 등이 있다. 전골 위에 올라간 수육은 질기지 않고 부드러우며, 만두 역시 직접 빚은 손만두로 감칠맛이 느껴진다. 만두를 다 먹은 후에는 직접 뽑은 생면을 넣어 먹는데, 쫄깃한 식감이 일품이다.",064-796-4562,주차가능,10:30 ~ 20:30 (브레이크타임 16:00 ~ 17:00),수요일,손만둣국,"사골만둣국, 한우수육만두전골 등","부대시설:주차장, 화장실
화장실:가능 (남녀구분)
"
107,카페 톨칸이,"제주특별자치도 제주시 우도해안길 32-2
			",33.4921103615,126.9552580701,"카페 톨칸이는 우도가 숨겨둔 비경, 톨칸이 해변과 큰 바위 얼굴을 품고 있는 전망 카페이다. 땅콩 모양의 에클레어 '땅클레어'가 시그니쳐이다.  땅클레어는 우도의 명물 땅콩을 닮은 에클레어로 바삭한 퍼프에 땅콩/당근/녹차 크림을 채워 기분 좋은 달콤함을 더했다. 제주 여행 기념 선물로 제격이다.",064-766-6030,주차가능,09:30 ~ 18:00 (주문마감 17:30),연중무휴,땅끌레어,땅끌레어 / 톨칸이라떼 외,
108,카페메이비,제주특별자치도 서귀포시 이중섭로 34(서귀동),33.2450313688,126.5642531366,제주도 관광지 근처에 위치한 분위기 좋은 카페다. 대표메뉴는 아메리카노다. 제주특별자치도 서귀포시에 있는 카페다.,070-4143-0639,,10:30-01:00,,아메리카노 / 카페라떼,아메리카노 / 카페라떼,
109,숙성도 중문점,제주특별자치도 서귀포시 일주서로 966(색달동),33.2583496442,126.4075358703,"숙성도 중문점은 100% 제주 흑돼지를 차별화된 기술로 숙성하여 제공하는 돼지고기구이 전문점이다. 이곳은 선별된 정육을 진공포장해 영하 1도의 염수로 보관하는 워터에이징 후, 바람과 온도, 습도를 관리하는 드라이 에이징까지 교차로 숙성한다. 또한 돼지고기 하면 떠오르는 삼겹살 부위가 아니라 비선호 저지방 부위인 등심, 앞다리 뒷다리 등 기타 부위들을 전문적인 숙성법으로 더욱 맛있게 맛볼 수 있다는 점이 이 집만의 특징이다. 제주시 노형동에 본점이 있으며, 오후 3시부터 4시 30분까지 브레이크 타임이 있으니 참고하면 된다.",064-739-5213,있음 / 주차요금 무료,12:00 ~ 22:00 (브레이크타임 15:00~16:30 / 라스트오더 21:15),없음,"720숙성흑삼겹(180g), 720흑돼지1%(목살 180g), 960뼈등심 (350g), 갈치속젓 볶음밥","교차숙성흑돼지(앞다리 180g), 702숙성 lyb 뼈목살 (360g), 된장술밥, 동치미열무국수 등","부대시설:단체석, 무선 인터넷, 주차장, 화장실

화장실:있음 (남녀 구분)

"
110,와랑와랑,"제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28
			",33.2722634836,126.6765427957,"제주의 겨울여행에서 빠지지 않는 코스인 제주 남부 지역 위미리 마을에 위치한 와랑와랑은 한겨울에 붉은 꽃을 피워내는 매혹적인 동백나무 군락지에서 몇 걸음 떨어지지 않은 곳에 위치하고 있다. 
다양한 종류의 커피와 차, 쿠키와 주스 등을 판매하며, 그중에서도 단팥라떼와 찰떡구이는 와랑와랑의 겨울 별미이다. 국산 팥을 직접 삶아 만드는 단팥라떼는 부드럽고 고소한데다 여운처럼 남는 은은한 단맛이 일품이며, 떡을 살짝 구워 볶은 콩가루를 듬뿍 뿌려 내는 찰떡구이는 살짝 허기진 속을 든든하게 만들어준다. 사장 내외는 카페 외에 유기농 인증을 받은 감귤 농장도 운영 중이다. 때문에 직접 운영하는 농장의 품질 좋은 감귤로 만드는 감귤 재료 음료들도 인기가 좋다.",070-4656-1761,주차 가능,11:00 ~ 18:00,연중무휴,핸드드립커피 / 단팥라떼,핸드드립커피 / 단팥라떼 / 감귤 스무디 / 찰떡구이 외,
111,훈데르트윈즈,"제주특별자치도 제주시 우도해안길 32-2
			",33.4921103615,126.9552580701,훈데르트윈즈는 성산일출봉을 화룡점정으로 시시각각 변하는 우도의 바다를 두 눈에 담을 수 있는 우도 최고의 뷰 카페이다.,064-766-6020,주차 가능,09:30 ~ 18:00 (주문마감 17:30),연중무휴,"우도넛, 보롬에이드","우도넛, 보롬에이드 외",
