,명칭,주소,lat,lon,개요,문의 및 안내,쉬는날,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,상세정보
185,섯알오름,"제주특별자치도 서귀포시 대정읍 상모리 1618
			",33.2042091988,126.2815563372,"송오름(송악산) 북쪽에 알오름 세 개가 동서로 뻗어 있는데 그 중 서쪽 오름이 섯알오름이며 동쪽것은 동알오름, 가운데 것을 셋알오름이라고 한다. 송악산 북쪽에 있는 섯알오름은 작고 나지막한 3개의 말굽형 분화구가 나란히 줄지어 분포되어 있는 곳이다. 높이 약 21m, 둘레 704m, 총면적 29,094㎢인 섯알오름은 아담한 동산과 같은 느낌이지만 이곳은 양민학살터로 아픔이 있는 4.3유적지이기도 하다. 입구에는 학살된 주민들의 추모비가 있으며 꼭대기에는 일제강점기에 설치한 고사포 진지가 있어 한국 근대사의 비극을 전해준다. 섯알오름 희생자들은 대부분 인근 묘역에 함께 안장됐다. 백조일손지묘(百祖一孫之墓), 서로 다른 132분의 조상들이 한날 한시 한곳에서 죽어 뼈가 엉기어 하나가 되었으니 그 후손들은 이제 모두 한 자손이라는 의미다. 예전에는 백조일손지지(百祖一孫之地)라고 불렸다. 사건을 숨기기 위해 학살 터 일대를 출입 통제한 탓에 유족들은 몇 년이 지나서야 시신을 찾아갈 수 있었다. 하지만 이미 시신들이 썩고 뒤엉겨서 결국 두개골과 팔, 다리뼈들을 적당히 맞춘 132구의 시신을 한데 안장할 수밖에 없었다.",,,,있음 (평화공원 내 약 소형 24대와 대형 26대 주차가능),없음,없음,
186,제주탐나라공화국,"제주특별자치도 제주시 한림읍 한창로 897
			",33.3345121647,126.3256857208,"탐나라공화국은 제주 한림읍 금악리에 자리 잡은 대한민국 미니국가이다. 나무도 물도 없는 돌땅에 나무를 심어 숲을 만들고, 80여 개의 빗물연못으로 황무지 성공신화를 이루고 있는 탐나라공화국은 국내외 70여 개국의 여행자들이 찾는 제주의 숨은 보물이다. 이곳을 방문하려면 반드시 예약을 하고 여권을 발부받아야 하며 현장을 조성한 직원이 직접 스토리투어를 해 준다. 무(無)에서 유(有)를 만들고 길(道)을 내고 도덕경을 연결한 노자예술관이 있으며, 전국에서 버려지는 헌책 30만권을 보관하는 헌책도서관으로도 유명하다. 제주의 화산석을 녹여 도자나 공예품을 만들고 있는데 현장에서 직접 체험도 가능하다. 돌가루와 점토를 섞은 도자체험, 용암을 녹이는 용해로체험, 천에 염색을 해보는 스카프 만들기 체험도 있다.
춘천 남이섬에 나미나라공화국을 만든 강우현 대표가 2014년부터 제주에 정착해서 직접 조성한 이 공간에는 누구나 나무를 심거나 채소를 가꿀 수 있는 ‘여행자가 가꾸는 여행지’로도 알려져 있다. 황무지를 숲으로 만든 2만여 그루의 나무들 가운데 1만5천 그루 이상은 지역 주민과 방문자들이 심은 것이다. 탐나라공화국에는 수많은 길이 있어 자연과 정신, 문화 속에서 나만의 시간을 만끽하는 이들에게 좋다. 뒤쪽에 있는 곶자왈 숲길을 거닐며 자연과 몸이 하나가 되어 명상, 호흡이 어우러진 웰니스 프로그램을 체험할 수도 있다.",064-772-2878,연중무휴,"08:30 ~ 18:00<br />
※ 사전 예약 방문",주차가능(소형 80대/ 대형 10대 주차가능),불가,가능,"입 장 료:[여권]<br />
1년 만기 20,000원 / 3년 만기 30,000원<br/>
[비자]<br/>
1일 방문 미자 10,000원<br />
※ 비자면제 : 6세미만 어린이(보호자 동반)
한국어 안내서비스:탐나라공화국 스토리 투어<br />
※ 여권 또는 1일 방문 비자 발급시 진행
"
187,인디고트리,"제주특별자치도 서귀포시 남원읍 하례망장포로 4
			",33.2638248613,126.634841043,"인디고트리는 오래된 귤 창고를 카페이자 편집샵으로 개조한 곳으로 곳곳이 돌로 꾸며져 투박하면서도 빈티지한 멋이 느껴지며, 건물 외관은 제주도 본연의 모습이 느껴진다. 카페 메뉴 중 제주도 특산품인 귤로 만든 에이드와 차는 산지의 귤을 바로 사용한 신선하면서도 새콤한 맛이 특징이다.<br /><br />인디고트리의 1층은 개성 넘치는 의류나 라이프스타일 소품들을 구경할 수 있는 편집샵 공간과 카페로 나뉘어져 있으며, 2층은 1층을 내려다 볼 수 있는 다락처럼 꾸며져 있다. 내부는 인더스트리얼 스타일(Inderstrial Style) 인테리어 분위기를 표현해 거칠면서도 심플한 분위기를 자아낸다. 도심에서는 쉽게 찾기 어려운 제주도의 감성을 느끼며 쉬어 가기 좋은 곳이다.<br>",010-4720-8185,매주 수요일/토요일 휴무,월~일 11:30~18:00,,없음,없음,
188,구엄리돌염전,"제주특별자치도 제주시 애월읍 구엄리
			",33.4789303956,126.3812109878,"제주 서쪽 해안도로를 따라 달리다 보면 우리나라 유일의 돌염전인 ‘소금 빌레’를 만날 수 있다. 구엄리에 자리한 이 돌염전은 용암이 굳어져 깨진 널찍한 현무암 지대에 흙을 돋우어 칸 칸마다 바닷물을 채우고 햇볕에 말려 천일염을 제조했다. 한때 소금밭의 규모가 1,500평에 이를 만큼 구엄리 사람들에겐 중요한 생계수단이었다. ‘염장이’로 불리던 이들은 귀한 소금밭을 큰딸에게만 상속했다. 여성의 생활력이 훨씬 강했던 제주의 특성을 짐작할 수 있는 부분이다. 1950년대까지도 활발하게 운영됐던 구엄리 돌염전은 육지에서 들어온 값싼 소금에 밀려 결국 사라졌다. 하지만 관광자원으로 새롭게 복원된 돌염전은 제주 어디서도 만날 수 없는 특별한 풍경을 선물한다. 특히 염전에 물이 찼을 때 거울처럼 맑은 반영사진을 찍을 수 있어 관광객들의 발길이 이어진다.",064-740-6000,,24시간,주차가능,없음,없음,
189,연화못(하가못),제주특별자치도 제주시 애월읍 하가로(애월읍),33.4547464297,126.3475200185,"연꽃이 많은 연못이라는 뜻으로 지어진 연화못은 제주 유명한 명소인 더럭분교 인근에 있다. 넓이가 3,780여 평으로 봉천수에 의한 연못으로는 제주도에서 가장 넓으며 마을 안에 위치하고 있어 농업용수로 이용할 뿐만 아니라 연꽃, 수련, 소리쟁이, 쇠무릎 등과 각종 수생 식물을 비록하여 어류 등 다양한 종이 서식하고 있다.",064-799-1598,연중개방,00:00~24:00,주차가능,불가,가능,"입 장 료:무료
화장실:있음
"
190,천지연폭포 (제주도 국가지질공원),"제주특별자치도 서귀포시 천지동
			",33.2445341254,126.5594730066,"그 이름만큼이나 빼어난 서귀포 천지연(天地淵)폭포는  조면질 안산암의 기암절벽이 하늘높이 치솟아 마치 선계(仙界)로 들어온 것같은 황홀경을 느끼게 한다. 천지연계곡에는 천연기념물로 지정된 담팔수 자생지 이외에도 가시딸기, 송엽란 등의 희귀식물과 함께 계곡 양쪽에  구실잣밤나무, 산유자나무, 동백나무 등의 난대성 식물들이 울창한 숲을 이루고 있어 천연기념물로 지정 보호되고 있다. 특히 담팔수나무는 담팔수과의 상록교목으로  우리나라에서는 안덕계곡, 천제연, 효돈천 등 제주도 남쪽해안이 섶섬, 문섬 등이 그 북한지이다.<br /><br />이 천지연난대림지대를 따라 나 있는 산책로를 1㎞쯤 걸어 들어가면 웅장한 소리를 내며 떨어지는 폭포와 만나게 된다. 서귀포항 어귀에서 길게 뻗은 오솔길에는 꽃치자, 왕벚나무,철쭉 등의 아름다운 꽃나무와 더불어 정취어린 돌징검다리, 숲사이 군데군데 마련된 쉼터가 최상의 데이트 코스를 연출해주므로 신혼부부나 연인들 사이에 무척 인기가 높다. 또한 폭 12m, 높이 22m에서 세차게 떨어져 수심 20m의 호(湖)를 이루는 천지연의 맑고 깊은 물은  천연기념물로 지정되었으며, 무태장어(천연기념물)의  서식지로서도 유명하다. 야간조명시설이 돼있어 11~4월에는 밤 10시까지 5~10월까지는 밤 11시까지 야간관광이나 데이트를 즐길 수 있는 코스로 최적지이다. 매년 서귀포칠십리축제가 이곳을 중심으로 화려하게 펼쳐지기도 한다.<br /><br />* 천지연 얼굴<br />최근 천지연 물 위에 비쳐진 바위의 형상이 사람 얼굴을 닮아 화제가 되고 있다. 천지연 기원의 다리 상류의 보 위에 자리잡고 있는 이 바위의 형상이 그 자체로는 흔한 바위지만 물 위에 비친 형상과 합쳐지면 사람의 얼굴처럼 보인다고 한다. 왼쪽에서 보면 큰 어른 얼굴이고 오른쪽에서 보면 다소곳한 어린 아기의 얼굴로 보여진다고 한다. 관광지관리사무소는 ""바위의 형상만 보면 사람의 얼굴이라는 생각이 안들지만 마치 물감을 도화지에 뿌리고 반으로 접으면 양쪽에 똑같은 그림이 나오는 것처럼 물위에 비친 형상까지 합쳐서 보면 신기하게도 사람의 얼굴임을 알 수 있다""며 ""그 모습도 오전보다는 해가 서쪽으로 기우는 오후가 되면 더욱 뚜렷이 나타난다""고 천지연을 찾는 관광객들에게 설명하고 있다.<br /><br />* 무태장어 서식지<br />천연기념물인 무태장어는 회유성 어류로서 하천이나 호수의 비교적 깊은 곳에서 산다. 육식성이며, 깊은 바다에서 산란한다. 몸은 황갈색이고 배는 백색이며, 온몸에는  흑갈색 반문이 흩어져 있다. 낮에는 소에 숨고 밤에는 얕은 곳으로 나와 먹이를 잡아 먹는데 큰것은 길이가 2m, 무게가 20㎏에 이른다. 국가에서는 무태장어가 서식하는 천지연 일대 무태장어 서식지를 천연기념물로 지정보호하고 있다.<br /><br />* 서귀포층의 패류화석<br />천지연하류 서남쪽 해변에 위치한 화석지대로서 제 3기인 플라이오세에 속하는 해성층이 발달하여 있는데 이것이 서귀포층이다. 이 지층은 주로 회색 또는 회갈색을 띤 사암류 및  점토로 구성되어 있고 조기패류와 동물화석들이 섞여 있다.<br>",064-710-3945,,09:00 ~ 22:00 (매표마감 21:20),있음,없음,불가,"입 장 료:성인 - 개인 2,000원 / 단체(10인 이상) 1,600원<br />
청소년·어린이 - 개인 1,000원 / 단체(10인 이상) 600원<br />
※ 노인, 국가유공자, 장애인 - 무료
이용가능시설:천지연휴게소, 상점 등
화장실:있음
주차요금:무료
한국어 안내서비스:문화관광해설사 가능
"
191,제주도 국가지질공원,"제주특별자치도 제주시 조천읍 선교로 569-36
			",33.4569020299,126.7142575546,"제주도는 한반도 서남단에서 남쪽으로 약 90㎞ 떨어져 있는 대륙붕 위의 화산섬으로서 화산분출물로 형성되었다. 화산지형이 원형 그대로 잘 보존돼 지구과학적 가치가 크고, 경관도 아름답다. 제주도는 이 가운데 경관이 뛰어난 명소 9곳(한라산, 성산일출봉, 만장굴, 서귀포층, 산방산과 용머리해안, 수월봉, 중문대포해안 주상절리대, 천지연폭포)을 유네스코 세계지질공원 네트워크(GGN)에 세계지질공원으로 인증을 받았다. 유네스코가 지원하는 세계지질공원은 지질학적으로 가치가 있고, 희귀하며 경관이 아름다운 지역으로 교육과 지질관광이 활발히 이루어져 지역경제 발전에 기여하는 곳을 말한다. 제주도는 유네스코가 인정하는 지질공원, 생물권보전지역, 세계자연유산을 보유함으로써 세계적인 자연관광지로서 거듭나고 있다.<br /><br />* 한라산국립공원 [유네스코 세계자연유산]<br /><br />한라산은 제주도 순상화산의 중심 봉우리이며, 1,950m의 해발고도로 세계자연유산이자 남한에서 가장 높은 산이다. 한라산은 제주도의 상징이자 한반도와 주변 해역에서 일어난 제4기 화산활동의 대표적인 산물이기도 하다. 정상부에 깊이 108m, 너비 550m의 화구호인 백록담 분화구가 있으며, 영실기암의 가파른 암벽과 약 40여개의 오름 등 여러 화산지형을 갖고 있다. 풍화와 침식에 의해 순상화산의 원래 지형이 파괴되지 않은 상태로 남아있는 한라산은 2002년과 2007년에는 각각 유네스코 생물권 보전지역과 유네스코 세계자연유산으로 등재되었다.<br /><br />* 성산일출봉 [유네스코 세계자연유산]<br /><br />전형적인 수성화산으로 높이 179m로 제주도 동쪽 해안에 거대한 고대의  성곽처럼 우뚝 솟아있다. 성산일출봉 응회구는 수심이 얕은 해저에서 분출하여 해수면 위로 성장한 섯치형 화산의 탄생과 성장과정을 잘 보여주고 있다. 2000년과 2007년에 각각 천연기념물과 유네스코 세계자연유산으로 지정되었다.<br /><br />* 만장굴 [유네스코 세계자연유산]<br /><br />거문오름에서 흘러나온 용암이 땅위를 흐르다 만들어진 용암동굴로, 전체길이 약7,400m, 최대 높이 약 25m, 최대 폭 약 18m로서 제주 세계자연유산의 한 부분인 거문오름용암동굴계에 속하는 용암동굴이다.<br /><br />* 서귀포층<br /><br />수성화산 활동으로 생긴 화산재(火山灰)가 해양퇴적물과 함께 쌓이기를 반복해 생겨난 약 100m두께의 퇴적층으로 천연기념물로 지정되어 있다.<br /><br />* 산방산<br /><br />산방산은 제주도의 남서부 해안에 위치하고 있으며, 395m의 높이를 지닌 거대한 용암돔이다. 밝은 회색을 띠고 있는 산방산 용암돔은 주상절리가 잘 발달한 조면암으로 구성되어 있다.<br /><br />* 용머리 해안<br /><br />산방산 용암돔의 남쪽 해안에 있는 용머리는 제주에서 가장 오래된 화산 지형으로 수성화산 활동으로 만들어진 응회환의 일부이다. 용머리는 작은 돌기처럼 돌출해 있는 형상을 하고 있으며, 바닷속으로 들어가는 용의 머리를 닮았다하여 '용머리'로 불리며, 해안경관이 뛰어나다.<br /><br />* 수월봉<br /><br />수월봉은  제주도의 서쪽 가장자리에 위치하고 있는 기복이 낮은 언덕 형태의 화산쇄설성 퇴적층이다. 땅속에서 올라온 마그마가 지하수를 만나 격렬하게 폭발하면서 뿜어져 나온 화산재들이 쌓혀 형성된 응회암의 일부로 높이가 77m이다.<br /><br />* 중문.대포해안 주상절리대<br /><br />대포동의 주상절리 용암은 인근에 있는 '녹하지악'이라는 오름에서 분출된 용암이 해안으로 흘러와 굳으면서 생겨났다. 주상절리의 기둥이 두껍게 잘 만들어져 있는 아랫부분과 주상절리의 기둥이 가늘고 복잡하게 만들어져 있는 윗부분의 수평과 수직 단면에서 잘 발달되어 있다.<br /><br />* 천지연폭포<br /><br />천지연폭포는 높이는 22m, 폭은 12m이며, 폭포 아래에는 수심 20m의 호수가 형성되어 있다. 폭포의 하류는 서귀포항까지 약 1km 정도의 계곡을 형성하는데, 이곳에 서식하는 무태장어, 담팔수나무 및 난대림은 천연기념물로 지정되어 있다.<br>",064-710-6657,,,,없음,없음,
192,하우목동항,"제주특별자치도 제주시 우도면 우도해안길 353
			",33.5097526593,126.9431309349,"성산 일출봉 남쪽 바다에 자리한 우도는 매년 그 아름다운 풍광을 즐기기 위해 많은 방문객이 찾는 섬이다. 이 섬에는 2개의 항구가 있는데, 우도의 관문 항구인 천진항과 섬 중간에 자리한 하우목동항이 바로 그것이다. 천진항보다 크기는 작지만, 하얀 산호가 해안으로 밀려와 쌓인 서빈백사가 가까이 있다는 장점이 있다. 본섬으로 돌아갈 때는 구매한 티켓으로 하우목동항과 천진항 두 곳에서 모두 배를 탈 수 있어 처음에 천진항으로 입도했다면, 돌아갈 때는 하우목동항을 이용해 봐도 좋다. 성산항과 종달항에서 10~15분 정도가 소요된다.",064-740-6000,,상시 개방,,없음,가능,"이용가능시설:선착장
화장실:가능
"
193,석부작박물관,제주특별자치도 서귀포시 일주동로 8941(호근동),33.2503192271,126.5360193536,"제주만이 가진 천혜의 자원 중 하나인 현무암은 화산활동을 통해 크고 작은 구멍이 뚫려 있는 것이 특징이다. 이러한 현무암 위에 풍란과 야생화를 착근 시켜 하나의 예술품으로 만들어 낸 것이 석부작이다. 시간이 지남에 따라 초록의 생명이 구멍마다 고인 물기를 머금고 뿌리를 내리며 자라는 모습이 절로 탄성을 자아낸다. 투박한 돌덩이를 초록의 뿌리가 굽이굽이 휘어 감으며 껴안아가는 과정은 자연만이 줄 수 있는 생명의 감동이다. 
석부작 박물관은 풍란을 비롯해 복수초와 고란초, 죽백란, 만년석송, 한라구름채, 돌단풍 등 제주에서만 유일하게 볼 수 있는 야생화들과 분재작품들로서 최대한 제주의 자연 그대로를 존중하여 야생의 들판과 오름에서 느낄 수 있는 생물들의 생명력을 고스란히 느낄 수 있는 제주형 생태정원이다",석부작박물관 064-739-5588,연중무휴,08:30~17:00,주차가능(약 소형 20대/대형20대),없음,가능,"주차요금:무료
이용가능시설:스토리관, 서부작 실내 전시장, 산삼 배양실, 명품관, 야외폭포, 야외 전망대, 야외 전시장 등
입 장 료:개인 - 성인 6,000원 / 군인, 청소년 4,000원 / 어린이, 경로 3,000원<br />
단체 - 성인 5,000원 / 군인, 청소년 3,500원 / 어린이, 경로 3,000원<br />
※ 단체 30인 이상<br />
※ 어린이(7~13세), 청소년(14~19세), 경로(65세 이상)<br />
※ 장애인, 국가유공자 할인(카드 소지자에 한함)<br />
※ 미취학 어린이 무료
화장실:있음
내국인 예약안내:※ 단체 관람 예약은 전화 예약만 가능
한국어 안내서비스:※ 사전예약 필수
"
194,안성리수국길,"제주특별자치도 서귀포시 대정읍 안성리 995-1
			",33.269702002,126.2837741374,안성리수국길은 관광지로 개발된 곳이 아니라 마을에 살고 계신 노부부께서 돌담에 심어 놓은 수국들이 멋진 장관을 이뤄 사람들이 방문하여 SNS에서 올려 유명해진 곳이다. 개발 지역이 아니기에 주차장이 따로 마련되어 있지 않아 수국이 피는 시기에 방문하면 혼잡할 수 있다. 수국 개화 시기에 따라 다르지만 6월 중순쯤 마을에 들어서면 양쪽 돌담 사이 쭉 피어있는 수국을 보고 있자면 웬만한 수목원보다 더 멋스러운 풍경을 감상할 수 있다. 수국이 만개하는 시기에는 아름다운 순간을 담기 위해 예비부부들이 촬영하러 온다. 관광명소로 개발된 곳이 아닌 주민들이 사는 동네이기에 방문하게 된다면 조용히 감상하며 감사의 마음을 표현하는 것도 좋을 거 같다.,064-740-6000,,상시 개방,,없음,가능,
195,용담해안도로,제주특별자치도 제주시 서해안로 687-1(용담이동),33.5158700504,126.5120821042,"용두암부터 도두봉까지 이어지는 6Km의 해안도로로, 제주도민들이 즐겨 찾는 드라이브 코스다. 특히 밤에 더욱 화려한 빛을 발한다. 올레 17코스 중 일부다. 정식 명칭은 '서해안로'지만, 제주 유명 관광지인 용두암과 가까이 자리하고 있어 '용두암 해안도로' 또는 '용담 해안도로'로 알려져 있다. 해안도로 중간중간 차를 대고 바다를 볼 수 있는 공원이 조성되어 있고, 바다를 비추는 조명도 설치되어 있어 밤낮으로 바다를 보기 위해 찾는 사람들이 많다. 해안도로의 마지막은 '도두봉'이 자리 잡고 있다. 도두봉은 경사가 완만해 누구나 올라가기 편하다. 특히, 도두봉은 노을 명소로도 유명한 오름이고 공항과 가깝기 때문에 제주도에 도착하거나 출발하기 전에 들르기 좋다.",064-728-1535,없음,상시 개방 / 관람소요시간 1~2시간,곳곳에 주차장 있음 (해안도로 주변의 갓길 주차장도 있 음),없음,가능,"이용가능시설:소공원, 전망대, 놀이터
화장실:있음 (또는 해안도로 주변의 카페 이용)
주차요금:없음
"
196,한라산 백록담,"제주특별자치도 서귀포시 토평동
			",33.3444755049,126.5364394223,"옛날 신선들이 하늘에서 내려와 백록을 타고 놀았다해서 백록담이라 불려졌다 한다. 둘레 약 2천여미터, 깊이가 약 100여 미터의 커다란 화산호인 백록담을 한 바퀴 돌고 나면 제주 섬 해안 도로를 다 돌아다닌 것이나 진배없다. 높이 1,950m이다. 남한에서 가장 높은 산이다. 제3기 말∼제4기 초에 분출한 휴화산이다. 현무암으로 이루어져 있으며 줄기는 제주도 중앙에서 동서로 뻗는다. 남쪽은 경사가 심한 반면 북쪽은 완만하고, 동서쪽은 비교적 높으면서도 평탄하다. 정상에는 둘레 약 3㎞, 지름 500m의 화구호인 백록담(白鹿潭)이 있으며, 주위 사방에 흙붉은오름[土赤岳]·사라오름[砂羅岳]·성널오름[城板岳]·어승생오름[御乘生岳] 등 360여 개의 측화산을 거느리고 있다.   둔덕에 올라서면 산의 높이가 느껴지고 마치 하늘에 두둥실 떠 있는 듯한 멋진 환상을 맛보게 된다. 한편 한라산은 천연기념물 한라산 천연보호구역으로 지정, 보호되고 있다.<br>",064-713-9950~3,연중무휴,,있음,없음,불가,"등산로:* 성판악 탐방로: 성판악 탐방안내소 - 속밭 대피소 - 사라악오름입구 - 진달래밭 - 정상(동능)<br>
* 관음사탐방로: 관음사지구 야영장 - 탐라계곡 - 개미목 - 삼각봉대피소 - 정상(동능)
화장실:있음
주차요금:이륜차 500원 / 경형(1000cc이하) 1,000원 / 승용차(4톤미만) 1,800원 <br />
소형버스 3,000원 / 중ㆍ대형버스(4톤이상) 3,700원 <br />
※ 소형버스(11~15인승이하), 중ㆍ대형버스(16인승이상)
"
197,소정방폭포,제주특별자치도 서귀포시 칠십리로214번길(동홍동),33.2451176776,126.5773270018,"정방폭포에서 동쪽으로 500미터 정도 가면 소정방이라는 5m 높이의 물줄기가 10개 있다. 여름철에는 물맞이 장소로도 성황을 이루는 아담한 곳이다. 해안절벽 위에는 ""소라의 성"" 이란 전망대가 도서관으로 운영중이다. 해안절경과 손에 잡힐듯이 떠있는 섬들을 감상하며 조용히 책을 읽기에 좋다.",064-733-1530,연중개방,00:00~24:00,주차가능,없음,없음,"입 장 료:무료
"
198,한라수목원,제주특별자치도 제주시 수목원길 72(연동),33.4697692812,126.4921487719,"제주시 연동 1100 도로변 광이오름 기슭에 위치한 한라수목원은 제주도 자생수종과 아열대식물 등의 식물들이 식재, 전시되어있는 수목원으로 학생 및 전문인들을 위한 교육과 연구의 장 역할을 하고 있으며, 테마관광지로도 사랑받고 있다. 특히 2000년에 환경부는 이곳을 멸종위기 보호야생식물의 서식지외 보전기관으로 지정했다. 환경부가 멸종 위기 식물로 지정한 나도풍란, 한란과 파초일엽, 갯대추 등 보호 대상 식물을 포함하여 총 1,321종(목본류 530종, 초본류 791종), 10만여본을 전시한다. 제주도 자생식물의 유전자원 보존 및 학습·연구의 장을 제공하고 도·시민에게 휴식 공간 제공 및 관광자원으로 활용하고 있다.",064-710-7575,설날/추석 당일 휴관,"동절기 09:00~17:00<br />
하절기 09:00~18:00",주차가능,없음,불가,"입 장 료:무료
이용가능시설:산림욕장, 체력단련실, 희귀특산수종원, 관목원, 수생식물원, 양치식물원, 죽림원, 만목원, 자연생태체험학습관 등
"
199,중문관광단지,제주특별자치도 서귀포시 중문관광로 38(중문관광단지안내소),33.2548917891,126.4136493056,"중문관광단지는 제주의 독특한 자연경관과 지리적 조건을 활용하여 한국관광공사가 1978년부터 제주특별자치도 서귀포시 중문, 대포, 색달동 일원(356만㎡)에 조성한 국제적인 관광 휴양지이다.<br><br>중문관광단지에는 국내 최고의 관광 휴양지답게 신라호텔, 롯데호텔, 그랜드조선호텔, 스위트호텔, 부영호텔, 씨에스호텔, 블룸호텔, 하얏트호텔(리모델링 중), 한국콘도(리모델링 중) 등 9개의 최고급 호텔이 있으며, 퍼시픽리솜, 여미지식물원, 테디베어박물관, 그림포레스트, 박물관은살아있다, 초콜릿랜드, 제주국제평화센터, 천제연폭포, 주상절리대, 중문골프클럽 등의 관광지가 있다.<br>특히 서핑, 요트, 패러세일링 등 해양 레포츠를 즐길 수 있는 중문색달해수욕장과 바다 전망 카페, 산책로 등이 최근 각광을 받고 있다.",064-739-1330,,,,없음,없음,"상점정보:제주관광공사 면세점, 신우성상가내 잡화점
이용가능시설:- 중문골프클럽, 퍼시픽랜드, 여미지 식물원, 테디베어박물관, 믿거나말거나박물관, 박물관은 살아있다, 플레이케이팝박물관, 초콜릿랜드, 제주국제평화센터, 천제연폭포, 중문해수욕장, 주상절리대<br />
- 엘마리노뷔페, 델리지아부페, 송도횟집, 신우성흑돼지, 대원관, 중문해녀의집, 색달해녀의집, BHC치킨, 맥도날드, KFC<br />
- 스타벅스, 세렌디카페, BADA 2822 Cafe, 옐로우카페, 더클리프카페, Cafe Jed, 별이 빛나는 밤에 카페, MONKEY BEACH<br />
- 신라호텔, 롯데호텔, 하얏트호텔, 스위트호텔, 켄싱턴호텔, 부영호텔&리조트, 하나호텔, 씨에스호텔, 한국콘도<br />
- 제주관광공사 면세점<br />
- 중문우편취급소<br />
- 전기차 충전소
화장실:있음
"
200,정의향교,"제주특별자치도 서귀포시 표선면 성읍서문로 14
			",33.3870027994,126.8001267057,"1416년(태종 16)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1809년(순조 9)에 현감 여철영(呂哲永)이 서성내(西城內)로부터 화원동(花院洞)에 이전하였다가, 1849년(헌종 15) 목사 장인식(張寅植)이 계청(啓請)하여 현재의 위치로 이전하였으며, 1967년에 보수하였다. 현존하는 건물로는 5칸의 대성전, 5칸의 명륜당, 동재(東齋)·서재(西齋)·삼문(三門) 등이 있으며, 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리 나라 18현(十八賢)의 위패를 봉안하고 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1명이 정원 30명의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행하며 초하루·보름에 분향하고 있다. 제주도 유형문화재로 지정되어 있으며, 향교의 운영은 전교(典校) 1명과 장의(掌議) 수명이 담당하고 있다.<br>",064-740-6000,,,,불가,없음,"입 장 료:없음
화장실:있음
"
201,가메창(암메),"제주특별자치도 제주시 한경면 청수로 13-3
			",33.3209235283,126.2460707194,"저지오름 남서쪽 기슭 자락 도로변에 가마솥 모양으로 패여 있는 원형분화구를 품고 있는 자그마한 오름으로, 마을에서는 분화구가 솥바닥처럼 생겼다 하여 가메창이라 부르고 있다. 한경면 저지리 저청초등학교 사거리에서 수동 방향으로 조금 가면 도로 우측에 위치해 있어, 해송이 있는 언덕 위로 몇발자국만 오르면 분화구를 볼 수 있다. 분화구는 둘레가 약 300m, 깊이가 16m 정도로 외륜의 사면경사인 비고(6m)보다 더 깊이 패여있는 형태이다. 오름은 잔디밭 등성이로 곱게 둘러져 있고, 오름옆에 있는 외딴 민가로 들어가는 돌담을 넘는 순간 고운 잔디밭과 듬성듬성한 해송 사이로 움푹패인 굼부리에 놀라지 않을 수 없다. 분화구 바닥은 화구원과 사면사이에 돌담을 둘러 그 안에는 농경지로 이용되고 있다.",제주관광정보센터 064-740-6000,,,,없음,없음,
202,신촌향사,제주특별자치도 제주시 조천읍 신촌5길(신촌리),33.5364445061,126.6206166464,"신촌향사는 마을의 공무를 처리하던 곳이다.조선 순조 5년 (1805)에 이곳으로 옮겨 지었다고 하며, 그 뒤로도 여러 차례 고쳐서 원래의 형태에서 많이 바뀐 것으로 보인다. 특히 최근 보수 때 침수에 대비하여 지대를 높이면서 본래의 분위기를 거의 잃었다.앞면이 7칸으로 제주도의 일반 민가보다 규모가 크고 가운데 있는 대청도 넓다. 그러나 구조와 양식 등은 민가와 거의 비슷하다.신촌향사는 우리나라에 별로 많지 않은 용도의 건물로 주목 받고 있다.<br /><br />(출처 : 문화재청)<br>",064-740-6000,,,,없음,없음,
